STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151027,0.0,12.2,3.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151028,9.1,18.3,5.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151029,18.5,23.9,13.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151030,0.0,16.1,5.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151031,0.0,11.1,3.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151101,0.0,16.7,8.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151102,0.0,17.8,10.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151103,0.0,22.8,8.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151104,0.0,15.6,9.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151105,0.0,24.4,10.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151106,0.0,22.8,16.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151107,0.0,20.6,10.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151108,0.0,13.3,6.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151109,0.0,15.6,5.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151110,1.8,11.7,6.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151111,13.7,10.0,7.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151112,1.0,13.9,7.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151113,0.3,15.0,7.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151114,0.0,8.3,2.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151115,0.0,12.2,2.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151116,0.0,16.1,3.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151117,0.0,7.2,0.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151118,0.0,8.9,-0.5
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151119,0.0,12.8,6.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151120,21.8,16.1,6.7
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151121,0.0,8.9,3.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151122,7.6,9.4,2.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151123,1.0,5.6,-1.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151124,0.0,6.7,-1.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151125,0.0,6.7,-1.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151126,0.0,15.0,3.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151127,0.0,17.8,8.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151128,5.3,15.6,5.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151129,0.0,6.7,0.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151130,0.0,3.3,-2.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151201,3.6,7.2,0.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151202,8.1,10.6,3.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151203,0.0,11.1,5.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151204,0.0,8.9,3.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151205,0.0,11.7,3.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151206,0.0,15.0,2.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151207,0.0,13.3,2.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151208,0.0,6.7,2.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151209,0.0,7.8,2.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151210,0.0,14.4,6.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151211,0.0,14.4,6.1
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151212,0.0,16.1,9.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151213,0.0,11.7,7.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151214,10.7,14.4,7.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151215,4.8,16.1,8.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151216,0.0,8.9,3.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151217,14.0,11.1,3.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151218,1.0,11.1,3.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151219,0.0,4.4,0.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151220,0.0,5.0,-0.5
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151221,0.0,11.7,0.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151222,5.8,15.6,8.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151223,19.3,13.3,7.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151224,6.1,20.6,8.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151225,0.0,16.7,9.4
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151226,0.0,12.8,5.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151227,6.6,10.0,3.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151228,0.0,3.3,-1.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151229,25.9,4.4,-4.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151230,0.8,2.8,-3.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20151231,2.0,8.3,0.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160101,0.0,5.0,0.6
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160102,0.0,4.4,-0.5
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160103,0.0,6.7,-0.5
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160104,0.0,2.2,-9.9
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160105,0.0,-3.2,-13.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160106,0.0,7.2,-6.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160107,0.0,6.1,-3.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160108,0.0,5.6,-1.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160109,0.3,5.0,3.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160110,35.1,14.4,3.3
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160111,0.0,10.6,-3.8
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160112,2.0,2.8,-6.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160113,0.0,0.6,-6.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160114,0.0,-1.0,-6.0
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160115,0.0,5.6,-3.2
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20160116,31.0,6.1,1.1
